Code,Name,LAD code,Borough,Total Mean Annual Household Income estimate,Total Median Annual Household Income estimate
E01000739,Bromley 014E,E09000006,Bromley,30844.04 ,23774.83 
E01000740,Bromley 005A,E09000006,Bromley,36881.08 ,28424.58 
E01000741,Bromley 005B,E09000006,Bromley,37183.70 ,28657.66 
E01000742,Bromley 005C,E09000006,Bromley,38118.50 ,29377.64 
E01000743,Bromley 009A,E09000006,Bromley,31573.40 ,24336.58 
E01000744,Bromley 009B,E09000006,Bromley,29224.68 ,22527.59 
E01000745,Bromley 005D,E09000006,Bromley,41583.81 ,32046.64 
E01000746,Bromley 005E,E09000006,Bromley,44184.56 ,34049.75 
E01000747,Bromley 042B,E09000006,Bromley,50938.26 ,39254.37 
E01000748,Bromley 042C,E09000006,Bromley,54706.35 ,42159.30 
E01000749,Bromley 036A,E09000006,Bromley,51113.50 ,39389.47 
E01000750,Bromley 036B,E09000006,Bromley,37234.19 ,28696.55 
E01000751,Bromley 036C,E09000006,Bromley,53056.19 ,40887.15 
E01000752,Bromley 036D,E09000006,Bromley,46796.57 ,36061.54 
E01000753,Bromley 031A,E09000006,Bromley,63701.58 ,49093.99 
E01000754,Bromley 031B,E09000006,Bromley,49647.64 ,38259.40 
E01000755,Bromley 031C,E09000006,Bromley,59541.38 ,45886.77 
E01000756,Bromley 033D,E09000006,Bromley,69449.97 ,53525.58 
E01000757,Bromley 031D,E09000006,Bromley,66283.51 ,51084.46 
E01000758,Bromley 031E,E09000006,Bromley,62781.53 ,48384.69 
E01000759,Bromley 034A,E09000006,Bromley,58788.41 ,45306.28 
E01000760,Bromley 034B,E09000006,Bromley,51255.27 ,39498.77 
E01000761,Bromley 034C,E09000006,Bromley,54366.03 ,41896.94 
E01000762,Bromley 018D,E09000006,Bromley,54008.19 ,41621.07 
E01000763,Bromley 027A,E09000006,Bromley,59987.73 ,46230.87 
E01000764,Bromley 027B,E09000006,Bromley,46653.73 ,35951.51 
E01000765,Bromley 034D,E09000006,Bromley,57452.09 ,44276.07 
E01000766,Bromley 027C,E09000006,Bromley,65661.38 ,50604.84 
E01000767,Bromley 027D,E09000006,Bromley,62586.36 ,48234.23 
E01000768,Bromley 034E,E09000006,Bromley,59252.87 ,45664.35 
E01000769,Bromley 024A,E09000006,Bromley,54776.85 ,42213.66 
E01000770,Bromley 012D,E09000006,Bromley,68787.55 ,53014.90 
E01000771,Bromley 041C,E09000006,Bromley,62021.95 ,47799.11 
E01000772,Bromley 012E,E09000006,Bromley,63537.59 ,48967.56 
E01000773,Bromley 024B,E09000006,Bromley,54745.84 ,42189.74 
E01000774,Bromley 041D,E09000006,Bromley,53260.52 ,41044.67 
E01000775,Bromley 024C,E09000006,Bromley,66337.27 ,51125.91 
E01000777,Bromley 024D,E09000006,Bromley,54105.95 ,41696.44 
E01000778,Bromley 024E,E09000006,Bromley,43988.19 ,33898.51 
E01000779,Bromley 001A,E09000006,Bromley,46583.73 ,35897.60 
E01000780,Bromley 001B,E09000006,Bromley,38127.55 ,29384.62 
E01000781,Bromley 001C,E09000006,Bromley,32316.89 ,24909.22 
E01000782,Bromley 001D,E09000006,Bromley,29738.33 ,22923.21 
E01000783,Bromley 001E,E09000006,Bromley,31373.36 ,24182.51 
E01000784,Bromley 002E,E09000006,Bromley,50334.71 ,38789.08 
E01000785,Bromley 001F,E09000006,Bromley,34382.46 ,26500.14 
E01000786,Bromley 032A,E09000006,Bromley,51581.61 ,39750.35 
E01000787,Bromley 029C,E09000006,Bromley,38876.60 ,29961.54 
E01000788,Bromley 029D,E09000006,Bromley,42204.34 ,32524.58 
E01000789,Bromley 032B,E09000006,Bromley,28785.88 ,22189.63 
E01000790,Bromley 028C,E09000006,Bromley,48001.24 ,36990.14 
E01000791,Bromley 029E,E09000006,Bromley,44906.19 ,34605.55 
E01000792,Bromley 032C,E09000006,Bromley,42781.99 ,32969.48 
E01000793,Bromley 032D,E09000006,Bromley,62179.21 ,47920.35 
E01000794,Bromley 035E,E09000006,Bromley,58860.89 ,45362.15 
E01000795,Bromley 032E,E09000006,Bromley,45039.87 ,34708.52 
E01000796,Bromley 009C,E09000006,Bromley,30651.79 ,23626.75 
E01000797,Bromley 013E,E09000006,Bromley,58186.70 ,44842.41 
E01000798,Bromley 009D,E09000006,Bromley,27254.28 ,21009.98 
E01000799,Bromley 004A,E09000006,Bromley,42472.98 ,32731.49 
E01000800,Bromley 009E,E09000006,Bromley,35080.54 ,27037.80 
E01000801,Bromley 015E,E09000006,Bromley,40133.13 ,30929.32 
E01000802,Bromley 004B,E09000006,Bromley,42632.90 ,32854.66 
E01000803,Bromley 004C,E09000006,Bromley,44607.48 ,34375.49 
E01000804,Bromley 004D,E09000006,Bromley,60749.26 ,46817.95 
E01000805,Bromley 004E,E09000006,Bromley,41557.90 ,32026.69 
E01000806,Bromley 009F,E09000006,Bromley,33726.89 ,25995.21 
E01000807,Bromley 022C,E09000006,Bromley,64167.02 ,49452.81 
E01000808,Bromley 025A,E09000006,Bromley,65379.91 ,50387.86 
E01000809,Bromley 022D,E09000006,Bromley,58630.99 ,45184.92 
E01000810,Bromley 025B,E09000006,Bromley,71805.04 ,55341.17 
E01000811,Bromley 025C,E09000006,Bromley,56246.74 ,43346.84 
E01000812,Bromley 028D,E09000006,Bromley,53931.79 ,41562.17 
E01000813,Bromley 025D,E09000006,Bromley,56255.58 ,43353.65 
E01000814,Bromley 028E,E09000006,Bromley,77596.60 ,59806.05 
E01000815,Bromley 025E,E09000006,Bromley,77146.84 ,59459.31 
E01000816,Bromley 040A,E09000006,Bromley,44130.75 ,34008.31 
E01000818,Bromley 040B,E09000006,Bromley,51429.54 ,39633.12 
E01000819,Bromley 040C,E09000006,Bromley,36413.83 ,28064.70 
E01000820,Bromley 008C,E09000006,Bromley,48961.52 ,37730.45 
E01000822,Bromley 008D,E09000006,Bromley,46492.50 ,35827.34 
E01000823,Bromley 008E,E09000006,Bromley,55789.71 ,42994.50 
E01000824,Bromley 008F,E09000006,Bromley,46708.46 ,35993.67 
E01000825,Bromley 008G,E09000006,Bromley,45457.04 ,35029.82 
E01000826,Bromley 021A,E09000006,Bromley,79998.37 ,61657.64 
E01000827,Bromley 021B,E09000006,Bromley,55853.52 ,43043.69 
E01000828,Bromley 011E,E09000006,Bromley,56316.66 ,43400.74 
E01000829,Bromley 018E,E09000006,Bromley,56742.27 ,43728.85 
E01000830,Bromley 021C,E09000006,Bromley,77892.63 ,60034.27 
E01000831,Bromley 021D,E09000006,Bromley,60689.17 ,46771.63 
E01000832,Bromley 030A,E09000006,Bromley,59054.22 ,45511.20 
E01000833,Bromley 021E,E09000006,Bromley,71075.75 ,54778.94 
E01000834,Bromley 027E,E09000006,Bromley,63930.28 ,49270.29 
E01000835,Bromley 030B,E09000006,Bromley,54013.44 ,41625.12 
E01000836,Bromley 030C,E09000006,Bromley,62576.47 ,48226.60 
E01000837,Bromley 030D,E09000006,Bromley,50521.54 ,38933.11 
E01000838,Bromley 030E,E09000006,Bromley,57760.61 ,44513.92 
E01000839,Bromley 030F,E09000006,Bromley,67254.46 ,51833.00 
E01000840,Bromley 030G,E09000006,Bromley,57299.36 ,44158.33 
E01000841,Bromley 030H,E09000006,Bromley,59877.64 ,46146.00 
E01032562,Bromley 040D,E09000006,Bromley,31248.05 ,24085.99 
E01032563,Bromley 040E,E09000006,Bromley,59632.10 ,45956.71 
E01032568,Bromley 041E,E09000006,Bromley,37681.98 ,29041.43 
E01032570,Bromley 042D,E09000006,Bromley,46539.55 ,35863.57 
E01000842,Camden 011A,E09000007,Camden,82203.52 ,62118.34 
E01000843,Camden 014A,E09000007,Camden,58871.31 ,44502.74 
E01000844,Camden 011B,E09000007,Camden,80968.23 ,61185.71 
E01000845,Camden 014B,E09000007,Camden,70494.02 ,53277.78 
E01000846,Camden 014C,E09000007,Camden,45003.93 ,34028.27 
E01000847,Camden 014D,E09000007,Camden,46667.09 ,35289.37 
E01000848,Camden 011C,E09000007,Camden,79742.93 ,60260.61 
E01000849,Camden 011D,E09000007,Camden,67381.20 ,50927.63 
E01000850,Camden 026A,E09000007,Camden,58445.31 ,44181.11 
E01000851,Camden 026B,E09000007,Camden,49284.63 ,37264.89 
E01000852,Camden 026C,E09000007,Camden,43185.59 ,32649.51 
E01000853,Camden 025A,E09000007,Camden,38169.79 ,28846.24 
E01000854,Camden 026D,E09000007,Camden,38713.47 ,29258.49 
E01000855,Camden 028A,E09000007,Camden,46662.74 ,35286.08 
E01000856,Camden 019A,E09000007,Camden,35793.03 ,27044.04 
E01000857,Camden 018A,E09000007,Camden,63234.30 ,47796.76 
E01000858,Camden 018B,E09000007,Camden,36106.36 ,27281.63 
E01000859,Camden 018C,E09000007,Camden,80881.80 ,61120.45 
E01000860,Camden 018D,E09000007,Camden,59261.50 ,44797.33 
E01000861,Camden 019B,E09000007,Camden,39869.35 ,30134.94 
E01000862,Camden 018E,E09000007,Camden,82666.14 ,62467.61 
E01000863,Camden 021A,E09000007,Camden,53986.23 ,40814.55 
E01000864,Camden 015A,E09000007,Camden,51525.53 ,38956.75 
E01000865,Camden 015B,E09000007,Camden,63375.73 ,47903.53 
E01000866,Camden 009A,E09000007,Camden,44223.24 ,33436.31 
E01000867,Camden 015C,E09000007,Camden,35460.09 ,26791.58 
E01000868,Camden 015D,E09000007,Camden,32465.83 ,24521.17 
E01000869,Camden 015E,E09000007,Camden,45709.46 ,34563.25 
E01000870,Camden 009B,E09000007,Camden,41727.21 ,31543.68 
E01000871,Camden 005A,E09000007,Camden,66218.33 ,50049.67 
E01000872,Camden 005B,E09000007,Camden,42584.69 ,32193.86 
E01000873,Camden 005C,E09000007,Camden,71456.96 ,54004.79 
E01000874,Camden 005D,E09000007,Camden,76040.72 ,57465.48 
E01000875,Camden 013A,E09000007,Camden,43936.39 ,33218.80 
E01000876,Camden 013B,E09000007,Camden,37176.67 ,28093.20 
E01000877,Camden 005E,E09000007,Camden,72076.21 ,54472.31 
E01000878,Camden 004A,E09000007,Camden,74432.41 ,56251.22 
E01000879,Camden 004B,E09000007,Camden,85643.20 ,64715.26 
E01000880,Camden 004C,E09000007,Camden,92479.03 ,69876.24 
E01000881,Camden 008A,E09000007,Camden,64566.34 ,48802.43 
E01000882,Camden 008B,E09000007,Camden,87518.83 ,66131.35 
E01000883,Camden 008C,E09000007,Camden,67080.46 ,50700.57 
E01000884,Camden 004D,E09000007,Camden,94537.19 ,71430.13 
E01000885,Camden 004E,E09000007,Camden,103687.74 ,78338.71 
E01000886,Camden 006A,E09000007,Camden,66552.91 ,50302.28 
E01000887,Camden 006B,E09000007,Camden,59083.88 ,44663.23 
E01000888,Camden 006C,E09000007,Camden,57570.03 ,43520.29 
E01000889,Camden 007A,E09000007,Camden,33675.57 ,25438.46 
E01000890,Camden 007B,E09000007,Camden,26548.25 ,20034.12 
E01000891,Camden 007C,E09000007,Camden,26445.66 ,19956.32 
E01000892,Camden 006D,E09000007,Camden,57900.08 ,43769.47 
E01000893,Camden 002A,E09000007,Camden,84878.06 ,64137.59 
E01000894,Camden 002B,E09000007,Camden,96271.07 ,72739.20 
E01000895,Camden 002C,E09000007,Camden,70925.08 ,53603.22 
E01000896,Camden 002D,E09000007,Camden,93107.97 ,70351.09 
E01000897,Camden 008D,E09000007,Camden,96505.20 ,72915.96 
E01000898,Camden 008E,E09000007,Camden,58509.52 ,44229.60 
E01000899,Camden 002E,E09000007,Camden,100809.87 ,76165.95 
E01000900,Camden 012A,E09000007,Camden,41250.01 ,31181.84 
E01000901,Camden 007D,E09000007,Camden,30659.15 ,23151.23 
E01000902,Camden 012B,E09000007,Camden,32531.79 ,24571.18 
E01000903,Camden 006E,E09000007,Camden,58061.03 ,43890.99 
E01000904,Camden 012C,E09000007,Camden,38623.00 ,29189.89 
E01000905,Camden 012D,E09000007,Camden,27853.68 ,21023.97 
E01000906,Camden 012E,E09000007,Camden,64617.86 ,48841.33 
E01000907,Camden 001A,E09000007,Camden,39985.10 ,30222.71 
E01000908,Camden 001B,E09000007,Camden,42393.70 ,32049.05 
E01000909,Camden 001C,E09000007,Camden,77369.83 ,58468.95 
E01000910,Camden 003A,E09000007,Camden,85968.43 ,64960.81 
E01000911,Camden 003B,E09000007,Camden,49166.25 ,37175.52 
E01000912,Camden 001D,E09000007,Camden,41737.14 ,31551.21 
E01000913,Camden 001E,E09000007,Camden,96648.89 ,73024.45 
E01000914,Camden 028B,E09000007,Camden,50593.13 ,38252.80 
E01000915,Camden 027A,E09000007,Camden,37748.73 ,28526.96 
E01000916,Camden 027B,E09000007,Camden,44967.37 ,34000.55 
E01000917,Camden 027C,E09000007,Camden,33060.38 ,24971.98 
E01000918,Camden 028C,E09000007,Camden,45819.55 ,34646.73 
E01000919,Camden 028D,E09000007,Camden,47265.24 ,35740.27 
E01000920,Camden 027D,E09000007,Camden,50103.61 ,37883.22 
E01000921,Camden 003C,E09000007,Camden,47075.92 ,35597.34 
E01000922,Camden 007E,E09000007,Camden,40838.50 ,30869.81 
E01000923,Camden 003D,E09000007,Camden,59956.38 ,45321.96 
E01000924,Camden 009C,E09000007,Camden,53728.58 ,40620.03 
E01000925,Camden 009D,E09000007,Camden,32909.12 ,24857.29 
E01000926,Camden 009E,E09000007,Camden,43634.06 ,32989.56 
E01000927,Camden 007F,E09000007,Camden,57153.05 ,43205.47 
E01000928,Camden 003E,E09000007,Camden,47154.00 ,35656.28 
E01000929,Camden 020A,E09000007,Camden,34948.00 ,26403.29 
E01000930,Camden 020B,E09000007,Camden,31858.75 ,24060.84 
E01000931,Camden 013C,E09000007,Camden,34059.13 ,25729.30 
E01000932,Camden 013D,E09000007,Camden,49291.49 ,37270.07 
E01000933,Camden 020C,E09000007,Camden,49301.36 ,37277.52 
E01000934,Camden 020D,E09000007,Camden,33140.81 ,25032.97 
E01000935,Camden 020E,E09000007,Camden,33422.60 ,25246.64 
E01000936,Camden 024A,E09000007,Camden,37556.97 ,28381.56 
E01000937,Camden 025B,E09000007,Camden,37175.33 ,28092.18 
E01000938,Camden 024B,E09000007,Camden,34786.26 ,26280.65 
E01000939,Camden 024C,E09000007,Camden,31141.80 ,23517.21 
E01000940,Camden 024D,E09000007,Camden,37179.29 ,28095.18 
E01000941,Camden 025C,E09000007,Camden,30995.99 ,23406.65 
E01000942,Camden 025D,E09000007,Camden,42365.38 ,32027.57 
E01000943,Camden 025E,E09000007,Camden,41772.46 ,31577.98 
E01000944,Camden 023A,E09000007,Camden,31300.30 ,23637.39 
E01000945,Camden 023B,E09000007,Camden,36045.92 ,27235.79 
E01000946,Camden 021B,E09000007,Camden,51152.30 ,38674.97 
E01000947,Camden 021C,E09000007,Camden,39239.25 ,29657.17 
E01000948,Camden 021D,E09000007,Camden,53897.47 ,40747.54 
E01000949,Camden 023C,E09000007,Camden,38631.45 ,29196.29 
E01000950,Camden 023D,E09000007,Camden,26735.65 ,20176.21 
E01000951,Camden 023E,E09000007,Camden,28780.45 ,21726.70 
E01000952,Camden 022A,E09000007,Camden,31794.85 ,24012.39 
E01000953,Camden 022B,E09000007,Camden,30494.86 ,23026.66 
E01000954,Camden 022C,E09000007,Camden,28568.09 ,21565.67 
E01000955,Camden 022D,E09000007,Camden,29888.82 ,22567.13 
E01000956,Camden 022E,E09000007,Camden,33708.60 ,25463.50 
E01000957,Camden 019C,E09000007,Camden,37876.49 ,28623.84 
E01000958,Camden 019D,E09000007,Camden,35910.40 ,27133.04 
E01000959,Camden 019E,E09000007,Camden,29598.60 ,22347.06 
E01000960,Camden 017A,E09000007,Camden,54829.74 ,41451.40 
E01000961,Camden 017B,E09000007,Camden,40198.73 ,30384.69 
E01000962,Camden 016A,E09000007,Camden,76687.51 ,57953.80 
E01000963,Camden 017C,E09000007,Camden,70017.27 ,52917.83 
E01000964,Camden 016B,E09000007,Camden,60530.60 ,45755.49 
E01000965,Camden 016C,E09000007,Camden,58749.05 ,44410.44 
E01000966,Camden 016D,E09000007,Camden,84620.23 ,63942.93 
E01000967,Camden 017D,E09000007,Camden,80149.68 ,60567.71 
E01000968,Camden 016E,E09000007,Camden,60953.74 ,46074.95 
E01000969,Camden 010A,E09000007,Camden,72582.42 ,54854.49 
E01000970,Camden 010B,E09000007,Camden,64715.65 ,48915.16 
E01000971,Camden 010C,E09000007,Camden,74043.79 ,55957.82 
E01000972,Camden 010D,E09000007,Camden,39908.18 ,30164.38 
E01000973,Camden 010E,E09000007,Camden,44465.59 ,33620.07 
E01000974,Camden 013E,E09000007,Camden,39667.70 ,29982.04 
E01000975,Croydon 022A,E09000008,Croydon,42812.13 ,34474.63 
E01000976,Croydon 022B,E09000008,Croydon,34350.91 ,27677.28 
E01000977,Croydon 022C,E09000008,Croydon,35110.38 ,28282.30 
E01000978,Croydon 022D,E09000008,Croydon,39460.61 ,31766.08 
E01000979,Croydon 022E,E09000008,Croydon,45813.33 ,36900.07 
E01000980,Croydon 017A,E09000008,Croydon,39744.44 ,31995.46 
E01000981,Croydon 017B,E09000008,Croydon,42949.78 ,34585.87 
E01000982,Croydon 017C,E09000008,Croydon,37281.28 ,30011.70 
E01000983,Croydon 017D,E09000008,Croydon,45485.96 ,36635.50 
E01000984,Croydon 022F,E09000008,Croydon,35105.54 ,28278.44 
E01000985,Croydon 021A,E09000008,Croydon,50904.08 ,41014.19 
E01000986,Croydon 021B,E09000008,Croydon,52154.86 ,42025.01 
E01000987,Croydon 021C,E09000008,Croydon,50535.83 ,40716.59 
E01000989,Croydon 018A,E09000008,Croydon,49664.21 ,40012.17 
E01000990,Croydon 045A,E09000008,Croydon,29357.45 ,23699.36 
E01000991,Croydon 018B,E09000008,Croydon,54025.03 ,43536.40 
E01000992,Croydon 014A,E09000008,Croydon,33162.26 ,26730.37 
E01000993,Croydon 021D,E09000008,Croydon,43671.60 ,35169.22 
E01000994,Croydon 009A,E09000008,Croydon,35200.47 ,28354.06 
E01000995,Croydon 009B,E09000008,Croydon,32179.77 ,25947.69 
E01000996,Croydon 009C,E09000008,Croydon,37736.21 ,30374.11 
E01000997,Croydon 009D,E09000008,Croydon,34764.96 ,28007.13 
E01000998,Croydon 010A,E09000008,Croydon,33197.02 ,26758.06 
E01000999,Croydon 009E,E09000008,Croydon,34431.64 ,27741.59 
E01001000,Croydon 010B,E09000008,Croydon,35127.97 ,28296.31 
E01001001,Croydon 013A,E09000008,Croydon,31425.41 ,25346.75 
E01001002,Croydon 009F,E09000008,Croydon,34915.60 ,28127.13 
E01001003,Croydon 010C,E09000008,Croydon,33124.97 ,26700.66 
E01001004,Croydon 015A,E09000008,Croydon,32375.18 ,26103.36 
E01001005,Croydon 019A,E09000008,Croydon,31826.92 ,25666.60 
E01001006,Croydon 016A,E09000008,Croydon,32708.44 ,26368.84 
E01001007,Croydon 016B,E09000008,Croydon,33093.10 ,26675.28 
E01001008,Croydon 019B,E09000008,Croydon,29864.90 ,24103.60 
E01001009,Croydon 019C,E09000008,Croydon,33362.98 ,26890.27 
E01001010,Croydon 019D,E09000008,Croydon,27475.69 ,22200.29 
E01001011,Croydon 019E,E09000008,Croydon,30230.19 ,24394.60 
E01001012,Croydon 020A,E09000008,Croydon,28254.49 ,22820.71 
E01001013,Croydon 020B,E09000008,Croydon,25031.03 ,20252.81 
E01001014,Croydon 024A,E09000008,Croydon,32469.69 ,26178.65 
E01001015,Croydon 041A,E09000008,Croydon,42590.64 ,34295.63 
E01001016,Croydon 041B,E09000008,Croydon,52436.11 ,42252.31 
E01001017,Croydon 043A,E09000008,Croydon,63184.14 ,50938.39 
E01001018,Croydon 044A,E09000008,Croydon,54281.26 ,43743.47 
E01001019,Croydon 044B,E09000008,Croydon,60506.94 ,48774.79 
E01001020,Croydon 044C,E09000008,Croydon,49690.12 ,40033.12 
E01001021,Croydon 044D,E09000008,Croydon,31408.43 ,25333.22 
E01001022,Croydon 044E,E09000008,Croydon,54052.63 ,43558.71 
E01001023,Croydon 041C,E09000008,Croydon,38423.53 ,30927.96 
E01001024,Croydon 043B,E09000008,Croydon,52581.03 ,42369.42 
E01001025,Croydon 043C,E09000008,Croydon,52655.88 ,42429.92 
E01001026,Croydon 043D,E09000008,Croydon,45066.58 ,36296.58 
E01001027,Croydon 043E,E09000008,Croydon,55518.06 ,44743.00 
E01001028,Croydon 038A,E09000008,Croydon,70673.03 ,56990.57 
E01001029,Croydon 038B,E09000008,Croydon,62042.14 ,50015.47 
E01001030,Croydon 038C,E09000008,Croydon,68309.62 ,55080.57 
E01001031,Croydon 038D,E09000008,Croydon,65359.91 ,52696.74 
E01001032,Croydon 035A,E09000008,Croydon,65903.65 ,53136.17 
E01001033,Croydon 031A,E09000008,Croydon,46471.32 ,37431.83 
E01001034,Croydon 031B,E09000008,Croydon,47113.90 ,37951.13 
E01001035,Croydon 027A,E09000008,Croydon,44767.60 ,36054.95 
E01001036,Croydon 029A,E09000008,Croydon,66439.74 ,53569.42 
E01001037,Croydon 029B,E09000008,Croydon,37454.35 ,30149.56 
E01001038,Croydon 029C,E09000008,Croydon,42206.23 ,33984.97 
E01001039,Croydon 029D,E09000008,Croydon,64024.03 ,51617.15 
E01001040,Croydon 029E,E09000008,Croydon,41536.58 ,33443.78 
E01001041,Croydon 031C,E09000008,Croydon,37085.31 ,29855.58 
E01001042,Croydon 024B,E09000008,Croydon,33791.25 ,27231.44 
E01001043,Croydon 027B,E09000008,Croydon,34987.90 ,28184.72 
E01001044,Croydon 023A,E09000008,Croydon,60848.97 ,49051.20 
E01001045,Croydon 027C,E09000008,Croydon,39676.71 ,31940.73 
E01001046,Croydon 023B,E09000008,Croydon,61142.49 ,49288.42 
E01001047,Croydon 027D,E09000008,Croydon,37934.95 ,30532.43 
E01001048,Croydon 020C,E09000008,Croydon,36145.81 ,29107.15 
E01001049,Croydon 023C,E09000008,Croydon,72841.75 ,58743.24 
E01001050,Croydon 023D,E09000008,Croydon,43990.34 ,35426.81 
E01001051,Croydon 030A,E09000008,Croydon,27110.93 ,21909.72 
E01001052,Croydon 030B,E09000008,Croydon,26899.49 ,21741.28 
E01001053,Croydon 032A,E09000008,Croydon,29676.82 ,23953.77 
E01001054,Croydon 030C,E09000008,Croydon,27189.93 ,21972.65 
E01001055,Croydon 032B,E09000008,Croydon,26328.27 ,21286.23 
E01001056,Croydon 030D,E09000008,Croydon,24827.27 ,20090.49 
E01001057,Croydon 030E,E09000008,Croydon,22921.08 ,18571.97 
E01001058,Croydon 034A,E09000008,Croydon,46157.46 ,37178.18 
E01001059,Croydon 034B,E09000008,Croydon,40787.27 ,32838.23 
E01001060,Croydon 034C,E09000008,Croydon,40449.35 ,32565.14 
E01001061,Croydon 034D,E09000008,Croydon,34754.65 ,27998.91 
E01001062,Croydon 026A,E09000008,Croydon,60678.76 ,48913.65 
E01001063,Croydon 026B,E09000008,Croydon,55669.17 ,44865.12 
E01001064,Croydon 026C,E09000008,Croydon,60269.59 ,48582.97 
E01001065,Croydon 034E,E09000008,Croydon,43743.26 ,35227.13 
E01001066,Croydon 034F,E09000008,Croydon,29958.21 ,24177.94 
E01001067,Croydon 041D,E09000008,Croydon,70828.62 ,57116.31 
E01001068,Croydon 042A,E09000008,Croydon,50576.27 ,40749.26 
E01001069,Croydon 040A,E09000008,Croydon,59332.40 ,47825.58 
E01001070,Croydon 040B,E09000008,Croydon,46921.74 ,37795.84 
E01001071,Croydon 042B,E09000008,Croydon,49103.06 ,39558.68 
E01001072,Croydon 042C,E09000008,Croydon,70334.73 ,56717.18 
E01001073,Croydon 037A,E09000008,Croydon,52123.22 ,41999.44 
E01001074,Croydon 041E,E09000008,Croydon,44753.92 ,36043.90 
E01001075,Croydon 040C,E09000008,Croydon,50112.98 ,40374.86 
E01001076,Croydon 036A,E09000008,Croydon,28626.32 ,23116.92 
E01001077,Croydon 032C,E09000008,Croydon,34419.76 ,27732.13 
E01001078,Croydon 032D,E09000008,Croydon,29562.12 ,23862.40 
E01001079,Croydon 036B,E09000008,Croydon,27302.07 ,22061.98 
E01001080,Croydon 036C,E09000008,Croydon,24836.80 ,20098.08 
E01001081,Croydon 036D,E09000008,Croydon,27500.39 ,22219.97 
E01001082,Croydon 032E,E09000008,Croydon,28705.66 ,23180.12 
E01001083,Croydon 003A,E09000008,Croydon,48001.01 ,38668.05 
E01001084,Croydon 002A,E09000008,Croydon,53982.24 ,43501.82 
E01001085,Croydon 004A,E09000008,Croydon,36259.67 ,29197.85 
E01001086,Croydon 003B,E09000008,Croydon,41219.92 ,33187.88 
E01001087,Croydon 003C,E09000008,Croydon,35664.15 ,28723.44 
E01001088,Croydon 004B,E09000008,Croydon,36816.83 ,29641.70 
E01001089,Croydon 004C,E09000008,Croydon,32148.75 ,25922.98 
E01001090,Croydon 004D,E09000008,Croydon,33335.25 ,26868.18 
E01001091,Croydon 004E,E09000008,Croydon,49505.66 ,39884.04 
E01001092,Croydon 037B,E09000008,Croydon,64137.92 ,51709.19 
E01001093,Croydon 037C,E09000008,Croydon,48122.59 ,38766.31 
E01001094,Croydon 038E,E09000008,Croydon,76239.61 ,61489.24 
E01001095,Croydon 031D,E09000008,Croydon,42336.50 ,34090.25 
E01001096,Croydon 037D,E09000008,Croydon,67675.61 ,54568.19 
E01001097,Croydon 037E,E09000008,Croydon,41638.16 ,33525.88 
E01001098,Croydon 037F,E09000008,Croydon,71366.26 ,57550.81 
E01001099,Croydon 040D,E09000008,Croydon,45802.68 ,36891.46 
E01001100,Croydon 031E,E09000008,Croydon,52571.66 ,42361.85 
E01001101,Croydon 035B,E09000008,Croydon,64645.30 ,52119.23 
E01001102,Croydon 035C,E09000008,Croydon,60831.81 ,49037.34 
E01001103,Croydon 039A,E09000008,Croydon,54473.51 ,43898.84 
E01001104,Croydon 042D,E09000008,Croydon,61928.84 ,49923.90 
E01001105,Croydon 039B,E09000008,Croydon,37976.95 ,30565.88 
E01001106,Croydon 039C,E09000008,Croydon,44372.93 ,35736.00 
E01001107,Croydon 035D,E09000008,Croydon,65453.21 ,52772.15 
E01001108,Croydon 035E,E09000008,Croydon,70634.00 ,56959.03 
E01001109,Croydon 013B,E09000008,Croydon,30109.74 ,24298.65 
E01001110,Croydon 020D,E09000008,Croydon,31986.51 ,25793.73 
E01001111,Croydon 010D,E09000008,Croydon,34507.30 ,27801.86 
E01001112,Croydon 013C,E09000008,Croydon,31650.46 ,25526.03 
E01001113,Croydon 013D,E09000008,Croydon,32406.72 ,26128.49 
E01001114,Croydon 013E,E09000008,Croydon,29590.44 ,23884.96 
E01001115,Croydon 015B,E09000008,Croydon,28546.10 ,23053.01 
E01001116,Croydon 013F,E09000008,Croydon,32695.20 ,26358.30 
E01001117,Croydon 015C,E09000008,Croydon,32321.76 ,26060.81 
E01001118,Croydon 020E,E09000008,Croydon,28617.74 ,23110.09 
E01001119,Croydon 034G,E09000008,Croydon,51544.23 ,41531.52 
E01001120,Croydon 033A,E09000008,Croydon,46989.86 ,37850.88 
E01001121,Croydon 039D,E09000008,Croydon,62416.38 ,50317.92 
E01001122,Croydon 033B,E09000008,Croydon,63674.65 ,51334.80 
E01001123,Croydon 033C,E09000008,Croydon,58366.23 ,47044.77 
E01001124,Croydon 033D,E09000008,Croydon,66027.93 ,53236.61 
E01001125,Croydon 033E,E09000008,Croydon,49339.66 ,39749.89 
E01001126,Croydon 034H,E09000008,Croydon,49166.25 ,39609.74 
E01001127,Croydon 025A,E09000008,Croydon,55100.87 ,44405.85 
E01001128,Croydon 025B,E09000008,Croydon,30941.74 ,24961.45 
E01001129,Croydon 026D,E09000008,Croydon,60800.02 ,49011.65 
E01001130,Croydon 025C,E09000008,Croydon,26717.06 ,21595.95 
E01001131,Croydon 018C,E09000008,Croydon,40817.32 ,32862.52 
E01001132,Croydon 018D,E09000008,Croydon,51780.99 ,41722.87 
E01001133,Croydon 026E,E09000008,Croydon,47115.81 ,37952.67 
